"status","contents__totalCount","contents__items__type","contents__items__id","contents__items__name","contents__items__shareUrl","contents__items__durationMs","contents__items__durationText","contents__items__discNumber","contents__items__trackNumber","contents__items__playCount","contents__items__artists__type","contents__items__artists__id","contents__items__artists__name","contents__items__artists__shareUrl","contents__items__album__type","contents__items__album__id","contents__items__album__name","contents__items__album__shareUrl","contents__items__album__artists__type","contents__items__album__artists__id","contents__items__album__artists__name","contents__items__album__artists__shareUrl","contents__items__album__cover__url","contents__items__album__cover__width","contents__items__album__cover__height","contents__items__playlist__addedAt","contents__items__playlist__addedBy"
"","","track","6wf7Yu7cxBSPrRlWeSeK0Q","What Was I Made For? [From The Motion Picture ""Barbie""]","https://open.spotify.com/track/6wf7Yu7cxBSPrRlWeSeK0Q","222369","03:42","1","1","344168581","artist","6qqNVTkY8uBg9cP3Jd7DAH","Billie Eilish","https://open.spotify.com/artist/6qqNVTkY8uBg9cP3Jd7DAH","album","3AafSrFIbJPH6BJHiJm1Cd","What Was I Made For? [From The Motion Picture ""Barbie""]","https://open.spotify.com/album/3AafSrFIbJPH6BJHiJm1Cd","artist","6qqNVTkY8uBg9cP3Jd7DAH","Billie Eilish","https://open.spotify.com/artist/6qqNVTkY8uBg9cP3Jd7DAH","https://i.scdn.co/image/ab67616d00001e02ed317ec13d3de9e01fb99c9e","300","300","2023-10-03T10:49:24Z","null"
"","","","","","","","","","","","","","","","","","","","","","","","https://i.scdn.co/image/ab67616d00004851ed317ec13d3de9e01fb99c9e","64","64","",""
"","","","","","","","","","","","","","","","","","","","","","","","https://i.scdn.co/image/ab67616d0000b273ed317ec13d3de9e01fb99c9e","640","640","",""
"","","track","7mXuWTczZNxG5EDcjFEuJR","LADY GAGA","https://open.spotify.com/track/7mXuWTczZNxG5EDcjFEuJR","212878","03:32","1","10","282928846","artist","12GqGscKJx3aE4t07u7eVZ","Peso Pluma","https://open.spotify.com/artist/12GqGscKJx3aE4t07u7eVZ","album","4jox3ip1I39DFC2B7R5qLH","GÉNESIS","https://open.spotify.com/album/4jox3ip1I39DFC2B7R5qLH","artist","12GqGscKJx3aE4t07u7eVZ","Peso Pluma","https://open.spotify.com/artist/12GqGscKJx3aE4t07u7eVZ","https://i.scdn.co/image/ab67616d00001e022fb583ed96f8f35cbf2897ba","300","300","2023-10-03T10:49:24Z","null"
"","","","","","","","","","","","artist","6Sbl0NT50roqWvy746MfVf","Gabito Ballesteros","https://open.spotify.com/artist/6Sbl0NT50roqWvy746MfVf","","","","","","","","","https://i.scdn.co/image/ab67616d000048512fb583ed96f8f35cbf2897ba","64","64","",""
"","","","","","","","","","","","artist","7Gi6gjaWy3DxyilpF1a8Is","Junior H","https://open.spotify.com/artist/7Gi6gjaWy3DxyilpF1a8Is","","","","","","","","","https://i.scdn.co/image/ab67616d0000b2732fb583ed96f8f35cbf2897ba","640","640","",""
"","","track","6XbtvPmIpyCbjuT0e8cQtp","Columbia","https://open.spotify.com/track/6XbtvPmIpyCbjuT0e8cQtp","186000","03:06","1","1","326179824","artist","52iwsT98xCoGgiGntTiR7K","Quevedo","https://open.spotify.com/artist/52iwsT98xCoGgiGntTiR7K","album","07kam1Dks7GIucbSelfvyX","Columbia","https://open.spotify.com/album/07kam1Dks7GIucbSelfvyX","artist","52iwsT98xCoGgiGntTiR7K","Quevedo","https://open.spotify.com/artist/52iwsT98xCoGgiGntTiR7K","https://i.scdn.co/image/ab67616d00001e02a00a817b017c6f6bf8460be9","300","300","2023-10-03T10:49:24Z","null"
"","","","","","","","","","","","","","","","","","","","","","","","https://i.scdn.co/image/ab67616d00004851a00a817b017c6f6bf8460be9","64","64","",""
"","","","","","","","","","","","","","","","","","","","","","","","https://i.scdn.co/image/ab67616d0000b273a00a817b017c6f6bf8460be9","640","640","",""
"","","track","1vYXt7VSjH9JIM5oRRo7vA","Dance The Night - From Barbie The Album","https://open.spotify.com/track/1vYXt7VSjH9JIM5oRRo7vA","176579","02:56","1","1","412675720","artist","6M2wZ9GZgrQXHCFfjv46we","Dua Lipa","https://open.spotify.com/artist/6M2wZ9GZgrQXHCFfjv46we","album","5cH7FqB7JD5q1tJXJ7FHYu","Dance The Night (From Barbie The Album)","https://open.spotify.com/album/5cH7FqB7JD5q1tJXJ7FHYu","artist","6M2wZ9GZgrQXHCFfjv46we","Dua Lipa","https://open.spotify.com/artist/6M2wZ9GZgrQXHCFfjv46we","https://i.scdn.co/image/ab67616d00001e027dd3ba455ee3390cb55b0192","300","300","2023-10-03T10:49:24Z","null"
"","","","","","","","","","","","","","","","","","","","","","","","https://i.scdn.co/image/ab67616d000048517dd3ba455ee3390cb55b0192","64","64","",""
"","","","","","","","","","","","","","","","","","","","","","","","https://i.scdn.co/image/ab67616d0000b2737dd3ba455ee3390cb55b0192","640","640","",""
"","","track","1odExI7RdWc4BT515LTAwj","Daylight","https://open.spotify.com/track/1odExI7RdWc4BT515LTAwj","212953","03:32","1","1","598705196","artist","33NVpKoXjItPwUJTMZIOiY","David Kushner","https://open.spotify.com/artist/33NVpKoXjItPwUJTMZIOiY","album","6NcI39WPu4kY6Tul11nhSv","Daylight","https://open.spotify.com/album/6NcI39WPu4kY6Tul11nhSv","artist","33NVpKoXjItPwUJTMZIOiY","David Kushner","https://open.spotify.com/artist/33NVpKoXjItPwUJTMZIOiY","https://i.scdn.co/image/ab67616d00001e0295ca6a9b4083a86c149934ae","300","300","2023-10-03T10:49:24Z","null"
